,track.name,playlist_name,lyrics,language
11,Chanel,Obama's Favorite Songs of 2017,"My guy pretty like a girl
And he got fight stories to tell
I see both sides like Chanel
See on both sides like Chanel
Swimming laps through pool water
Heated like I'm underworld
Hide my tattoos in Shibuya
Police think I'm of the underworld
12 treat a nigga like he 12
How you looking up to me and talking down?
Can't you see I am the big man? (Big man)
God level I am the I am (whoa)
Now film it with that drone cam
In the pink like Killa Cam
Put a zoom on that stick, Noé
Up so close I'm on that kill
Remote controller on your lower back
Yes the good
Dick could roll the eyes back in the skull
Rolling when you ride, poppin'
Rolling when you ride
Ride the Rodman
Got one that's straight acting
Turnt out like some dirty plastic (Ride)
2016 burnt some discs
2017 ideas playing off a Walkman
This a cult not a clique on the net
With a cup in a cup, Actavis
That's a double edge, ""issa knife""
And I don't like to fight 'til I'm fighting
Revenge in the air make my lungs sick
Chopper in the sky like a gun trick
Clips on clips like Mike
It's really all
I see both sides like Chanel
See on both sides like Chanel
It's really you on my mind
It's really you on my mind
It's really you
It's really you on my mind
V both sides of the 12
Steam both sides of the L
Freeze smoke rings and they hail
Sleet snow grind for the wealth
Whole team diamonds is real
Showed 'em how to shine by they selves
You need a cosign for your health
I need that bitch to grind on my belt
I know you need to try for my belt
I know you seen it driving itself
No matte black on the ride 'cause it's stale
But it's stealth
I see both sides like Chanel
I see both sides like Chanel
My pockets snug
They can't hold my 7
They banned my Visa
My Amex and Mastercards
I got new money
And it's all cash
I got new bags
And they all collabs
I rubber band a bunch of thousand dollar Delta gift cards
I mean my baby boy
Amazing the cash online unknown
I mean my baby boy
Blazing the dash counting money at home
My pockets snug
They can't hold my 7
They banned my Visa
My Amex and Mastercards
I got new money
And it's all cash
I got new bags
And they all collabs
I rubber band a bunch of thousand dollar Delta gift cards
I mean my baby boy
Amazing the cash online unknown
I mean by baby boy
Blazing the dash counting money at home",english
12,Feel It Still,Obama's Favorite Songs of 2017,"Can't keep my hands to myself
Think I'll dust 'em off, put 'em back up on the shelf
In case my little baby girl is in need
Am I coming out of left field?
Ooh woo, I'm a rebel just for kicks, now
I been feeling it since 1966, now
Might be over now, but I feel it still
Ooh woo, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still
Got another mouth to feed
Leave her with a baby sitter, mama, call the grave digger
Gone with the fallen leaves
Am I coming out of left field?
Ooh woo, I'm a rebel just for kicks, now
I been feeling it since 1966, now
Might've had your fill, but you feel it still
Ooh woo, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still
We could fight a war for peace
(Ooh woo, I'm a rebel just for kicks, now)
Give in to that easy living
Goodbye to my hopes and dreams
Stop flipping for my enemies
We could wait until the walls come down
(Ooh woo, I'm a rebel just for kicks, now)
It's time to give a little to the
Kids in the middle, but oh 'til it falls
Won't bother me
Is it coming?
Is it coming?
Is it coming?
Is it coming?
Is it coming?
Is it coming back?
Ooh woo, I'm a rebel just for kicks, yeah
Your love is an abyss for my heart to eclipse, now
Might be over now, but I feel it still
Ooh woo, I'm a rebel just for kicks, now
I've been feeling it since 1966, now
Might be over now, but I feel it still
Ooh woo, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still
Might've had your fill, but you feel it still",english
13,BUTTERFLY EFFECT,Obama's Favorite Songs of 2017,"Murda on the beat so it's not nice
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (pop it, pop it)
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (pop it, pop it)
Drop the top, play hide and seek
Jump inside, jump straight to the lake
Take a sip, feel just how I be (it's lit!)
On freeway, but no, ain't nothin' free (straight up)
Bend laws, bend lanes
Been bustin' bills, but still ain't nothin' change
You in the mob soon as you rock the chain
She caught the waves just thumbin' through my braids (alright)
Heatin' up, baby, I'm just heatin' up (it's lit)
Need ya love, not a need it is a must (yeah!)
Feelin' stuck, you know how to keep me up (yeah, yeah!)
Icy love, icy like a hockey puck
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (Pop it, pop it)
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang
All the ones, all the chains piled on the mantle
All the dogs, all the dogs low creep right behind me in the Phantom
Never go, never go dip on the set, stayed Santana
Yeah, run it back, turn the lights on when I hit up Green Lantern
Yeah, fly the broads, fly the dogs down to Atlanta
Yeah, in the cut in Medusa, lay low I might be
Yeah, roll up, help me calm down when I move in high speed
Yeah, If I send one, need the text back 'cause you know what I need
Oh, please (oh please)
Oh me (oh me)
Oh my (oh my)
We been movin', we been movin' for some time (Alright!)
Flexin', flexin' try to exercise
(Exercise, exercise, exercise, exercise)
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (Pop it, pop it)
For this life, I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang",english
14,Matter of Time,Obama's Favorite Songs of 2017,"Oh yeah

It's a matter of time
Before justice will come
It's a matter of time, yeah
Before all wars will be done
It's a matter of time
Before wrongs will be righted
It's a matter of time, yeah
Before all people will be united

Let's not wait any longer, yeah
Gonna struggle on so hard
All together we get stronger
It's a matter of time
It's a matter of time

Oh yeah

It's a matter of time
This is a song about peace
Just a little bit of time
Until freedom will mean free
I don't mean one side beating the other side
I mean no more sides
I'm talking about unity for all people
Woah, just a matter of time!
I can't wait too much longer
My frustration's near its end
I can't hate 'cause I am stronger
It's a matter of time
It's a matter of time

Oh yeah
Cmon, (hmm hmm)
Soon we'll have a peace of mind
In a matter of time
I can't wait too much longer
Will this world ever get better? (hmm hmm)
It's just a matter of time
",english
15,Little Bit,Obama's Favorite Songs of 2017,"This life surrounds you
Guns are loaded
This kind of tension
Hard not to notice
Right, do what you're told
Gotta keep your eyes wide
On this long, narrow road
Little bit too high (Little bit)
A little bit too low (Little bit)
Get a little bit out of line (Little bit)
But baby won't it home
Poor kid, they caught him
Without his license
That ain't why they shot him
They say he was fighting
So, that's what we're told
But we all know
That ain't how the story goes
A little bit too bold (Little bit)
A little bit out of line (Little bit)
Now my baby won't make it home
Whole life surrounds you
Hard not to notice
Pay attention to the path before us
Little bit too high baby (Little bit)
Little bit too low (Little bit)
Little bit out of line (Little bit)
But baby won't make it a home
You feel surrounded
Maybe you're confused
Maybe you're confounded
What is there to do
Little bit from you (Little bit)
A little bit from me (Little bit)
Simple as it gets (Little bit)
We set each other free
Little bit from you (Little bit)
From me (Little bit)
Simple as it get (Little bit)
Selling [?] each other free",english
16,Millionaire,Obama's Favorite Songs of 2017,"They say ""Love is more precious than gold""
Can't be bought and it can't be sold
I got love enough to spare
That makes me a millionaire
I got a woman with eyes that shine
Down deep as a diamond mine
She's my treasure so very rare
She's made me a millionaire
When we ride around, ride around this old town
In the beat-up car, with the windows down
People look at her and they look at me
And say ""That boy is sure living in luxury""
Sweet luxury
'Cause love is more precious than gold
It can't be bought, no, never could be sold
I got love enough to share
That makes me a millionaire
When the kisses fall from everywhere
Life reaches on, millionaire
When the pocket's are empty and the cupboard is bare
I still feel like a millionaire
'Cause love is more precious than gold
It can't be bought, no, and it can't be sold
I got love enough to spare
That makes me a millionaire",english
17,Sign of the Times,Obama's Favorite Songs of 2017,"Just stop your crying
It's a sign of the times
Welcome to the final show
Hope you're wearing your best clothes
You can't bribe the door on your way to the sky
You look pretty good down here
But you ain't really good
If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
Just stop your crying
It's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying
It'll be alright
They told me that the end is near
We gotta get away from here
Just stop your crying
Have the time of your life
Breaking through the atmosphere
And things are pretty good from here
Remember everything will be alright
We can meet again somewhere
Somewhere far away from here
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
Just stop your crying
It's a sign of the times
We gotta get away from here
We gotta get away from here
Stop your crying
Baby, it will be alright
They told me that the end is near
We gotta get away from here
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We don't talk enough
We should open up
Before it's all too much
Will we ever learn?
We've been here before
It's just what we know
Stop your crying, baby
It's a sign of the times
We gotta get away
We got to get away
We got to get away
We got to get away
We got to get away
We got to, we got to (away)
We got to, we got to (away)
We got to, we got to (away)",english
18,Broken Clocks,Obama's Favorite Songs of 2017,"Run fast from my day job
Runnin' fast from the way it was
Jump quick to a pay check
Runnin' back to the strip club
I'm never going back, never going back
No you can't make me
Never going back, never going back (nah)
They never take me (yeah)
I've paid enough of petty dues
I've had enough of shitty news
I've had a thing for dirty shoes since I was 10
Love dirty men alike
Ooh
Better day than yesterday (keep cuttin' up)
Ooh
I just take it day by day
Ooh oh oh
Never hearing what they say
Ooh ooh
I just do it my way
All I got is these broken clocks
I ain't got no time
Just burning daylight
Still love and it's still love, and it's still love
It's still love, still love (still lovin'), still love
It's still love but it's still love
Nothin' but love for you (nothin' but)
Nothin' but love (nothin' but)
Nothin' but love
All that I've got, pieces and pages
Talking a lot, sorry I'm faded
Think I forgot, you love me
You love me
You love me
Got a shift at 10 AM
Gotta dip at 10 PM
Gotta get that cash
Won't get past the lunch break
I ain't had a smoke break
In about two days don't break
Been about three years since I dated you
Why you still talking 'bout me like we together?
I moved on for the better
You moved on to whoever
I was down for whatever and then some
You gon' make me late to work again
Ooh
Better day than yesterday
Ooh
I just take it day by day
Ooh oh oh
Never hearing what they say
Ooh ooh
I just do it my way (just do it)
All I got is these broken clocks
I ain't got no time
Just burning daylight
Still love and it's still love, and it's still love
It's still love, still love, still love (still lovin')
It's still love but it's still love (still lovin')
Nothin' but love for you
Nothin' but love (nothin' but)
Nothin' but love
I don't eat, can't sleep past 9 AM
Heartbeat make me feel young again (like a snail, like a)
Can't beat 'em just join the party (come and join the party)
I don't wanna, don't need nobody
All that I've got, pieces and pages
Talking a lot, sorry I'm faded
Think I've forgot, you love me
You love me
You love me
You love me
You love me
(You love me)",english
19,Ordinary Love - Extraordinary Mix,Obama's Favorite Songs of 2017,"The sea wants to kiss the golden shore
The sunlight warms your skin
All the beauty that's been lost before
Wants to find us again

I can't fight you anymore
It's you I'm fighting for
The sea throws rocks together
But time leaves us polished stones

We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

Birds fly high in the summer sky
And rest on the breeze
The same wind will take care of you and I
We'll build our house in the trees

Your heart is on my sleeve
Did you put it there with a magic marker
For years I would believe
That the world couldn't wash it away

'Cause we can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

'Cause we can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

Are we tough enough for ordinary love
Are we tough enough, tough enough for love
Are we tough enough for ordinary love",english
20,Born in the U.S.A.,Obama's Favorite Songs of 2017,"Born down in a dead man's town
The first kick I took was when I hit the ground
End up like a dog that's been beat too much
'Til you spend half your life just covering up
Born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
Born in the U.S.A
Got in a little hometown jam
So they put a rifle in my hand
Sent me off to a foreign land
To go and kill the yellow man
Born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
Come back home to the refinery
Hiring man said ""son if it was up to me""
Went down to see my V.A. man
He said ""son, don't you understand""
I had a brother at Khe Sanh fighting off the Viet Cong
They're still there, he's all gone
He had a woman he loved in Saigon
I got a picture of him in her arms now
Down in the shadow of the penitentiary
Out by the gas fires of the refinery
I'm ten years burning down the road
Nowhere to run ain't got nowhere to go
Born in the U.S.A
I was born in the U.S.A
Born in the U.S.A
I'm a long gone Daddy in the U.S.A
Born in the U.S.A
Born in the U.S.A
Born in the U.S.A
I'm a cool rocking Daddy in the U.S.A",english
